DATE,PRCP,SNOW,SNWD,TMAX,TMIN
2007,0.1257808219178082,0.00027397260273972606,0.0,78.00821917808219,55.35890410958904
2008,0.04366120218579235,0.0,0.0,82.17486338797814,54.15573770491803
2009,0.09345205479452055,0.0,0.0,81.59178082191781,55.912328767123284
2010,0.07786301369863013,0.000821917808219178,0.0,79.88767123287671,54.79178082191781
2011,0.0463013698630137,0.001643835616438356,0.0,83.6027397260274,55.652054794520545
2012,0.09601092896174863,0.0,0.0,82.22950819672131,57.02459016393443
2013,0.10147945205479451,0.0,0.0,80.53424657534246,55.178082191780824
2014,0.08073972602739726,0.0,0.0,79.30410958904109,54.71232876712329
2015,0.1596986301369863,0.0,0.0,79.24931506849315,56.25205479452055
2016,0.1471584699453552,0.0,0.0,81.29508196721312,58.013661202185794
2017,0.11375342465753426,0.0035616438356164386,0.003287671232876712,82.83561643835617,58.63835616438356
2018,0.09838356164383563,0.0,0.0,80.72054794520548,57.33698630136986
2019,0.0796986301369863,0.0,0.0,81.10684931506849,57.0958904109589
2020,0.10344262295081967,0.0,0.0,82.19125683060109,57.169398907103826
2021,0.11073972602739726,0.02136986301369863,0.0547945205479452,79.96438356164384,56.04931506849315
2022,0.06944606413994169,0.0005830903790087463,0.0,83.067055393586,56.498542274052475
